"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"163","Jacob Cowing (SF)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"164","Johnny Wilson (PHI)","1","0","0","0.0","0","0.0","9","0.0","0","0.0","0","0.0","0","1","3.4%","0","0","1","0","0","0","0","0","0"
"165","Collin Johnson (CHI)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0%","0","0","0","0","0","0","0","0","0"
"166","Christian Kirk (JAC)","1","1","-1","-1.0","-1","-1.0","72","72.0","0","0.0","0","0.0","0","3","11.1%","1","0","0","0","0","0","0","0","0"
"167","Kameron Johnson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"168","Allen Robinson II (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"169","Xavier Smith (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"170","Josh Downs (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"171","Erik Ezukanma (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"172","Kayshon Boutte (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"173","Dee Eskridge (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"174","Ihmir Smith-Marsette (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"175","Tee Higgins (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"176","Sterling Shepard (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"177","Keenan Allen (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"178","Devaughn Vele (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"179","Jaelon Darden (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
